prod1_1,category,sbu_name,statename,company_name,distname,prod2,comname,psu_pvt,statecode,orgrocd,dist,productname_org,total,distcode,comcode,code,productcode,zone_name,region_name,newcode,fiscal_year,coname,month_name,netweight_tmt,com_type,productname,prod1,entity_id,updated_at,created_at,ro
LPG-PKD ND,,LPG,GUJARAT,MPSU,JUNAGADH,LPG,IOCL,PSU,GJ,14,JUNAGADH,LPG 5 KG FTL Refill,20.87,GJ22,1060,LPGGJ22,10524,NWZ,WEST,GJ22,2022-2023,IOCL,JUN,0.875,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,AHMEDABAD
LPG-PKD ND,,LPG,GUJARAT,MPSU,JAMNAGAR,LPG,IOCL,PSU,GJ,14,JAMNAGAR,LPG 5 KG FTL Refill,19.445,GJ20,1060,LPGGJ20,10524,NWZ,WEST,GJ20,2022-2023,IOCL,JUN,0.35,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,AHMEDABAD
LPG-PKD ND,,LPG,GUJARAT,MPSU,MORBI,LPG,IOCL,PSU,GJ,14,MORBI,LPG 5 KG FTL Refill,329.51,GJ19,1060,LPGGJ19,10524,NWZ,WEST,GJ19,2022-2023,IOCL,JUN,20.919,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,AHMEDABAD
LPG-PKD ND,,LPG,GUJARAT,MPSU,GIR SOMNATH,LPG,IOCL,PSU,GJ,14,GIR SOMNATH,LPG 5 KG FTL Refill,12.567,GJ15,1060,LPGGJ15,10524,NWZ,WEST,GJ15,2022-2023,IOCL,JUN,0.344,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,AHMEDABAD
LPG-PKD ND,,LPG,GUJARAT,MPSU,BOTAD,LPG,IOCL,PSU,GJ,14,BOTAD,LPG 5 KG FTL Refill,15.289,GJ11,1060,LPGGJ11,10524,NWZ,WEST,GJ11,2022-2023,IOCL,JUN,1,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,AHMEDABAD
LPG-PKD ND,,LPG,GUJARAT,MPSU,AMRELI,LPG,IOCL,PSU,GJ,14,AMRELI,LPG 5 KG FTL Refill,9.084,GJ04,1060,LPGGJ04,10524,NWZ,WEST,GJ04,2022-2023,IOCL,JUN,0.1,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,AHMEDABAD
LPG-PKD ND,,LPG,GOA,MPSU,NORTH GOA,LPG,IOCL,PSU,GA,14,NORTH GOA,LPG 5 KG FTL Refill,18.824,GA04,1060,LPGGA04,10524,WZ,WEST,GA04,2022-2023,IOCL,JUN,1.124,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,GOA
LPG-PKD ND,,LPG,CHHATTISGARH,MPSU,MUNGELI,LPG,IOCL,PSU,CG,14,MUNGELI,LPG 5 KG FTL Refill,0.175,CG40,1060,LPGCG40,10524,EZ,WEST,CG40,2022-2023,IOCL,JUN,0,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,RAIPUR
LPG-PKD ND,,LPG,CHHATTISGARH,MPSU,SURGUJA,LPG,IOCL,PSU,CG,14,SURGUJA,LPG 5 KG FTL Refill,0.175,CG32,1060,LPGCG32,10524,EZ,WEST,CG32,2022-2023,IOCL,JUN,0,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,RAIPUR
LPG-PKD ND,,LPG,CHHATTISGARH,MPSU,RAJNANDGAON,LPG,IOCL,PSU,CG,14,RAJNANDGAON,LPG 5 KG FTL Refill,1.5,CG30,1060,LPGCG30,10524,EZ,WEST,CG30,2022-2023,IOCL,JUN,0.15,PSU,LPG-PKD ND,LPG-PKD ND,,2025-08-23 10:47:24,2025-08-23 10:47:24,RAIPUR
